CAL_DT,MODEL_NAME,BRAND_FULL_NAME,BRAND_NAME,VENDOR_NAME,OS_NAME,DEVICE_TYPE,_2G_FLG,_3G_FLG,_4G_FLG,WIFI_FLG,BLUETOOTH_FLG,TOUCH_SCREEN_FLG,DUAL_SIM_FLG,GENDER_TYPE_CD,AGE_B,NATIONALITY_CD,NATIONALITY_NAME,SAUDI_NON_SAUDI,DEVICE_COUNT,DEVICE_COUNT_processed,Z_FLAG_COUNT
5/31/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,PAK,Pakistan,Non-Saudi,12,12.0,1
5/31/2020,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,KWT,Kuwait,Non-Saudi,3,3.0,1
4/30/2019,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,SAU,Saudi Arabia,Saudi,2,2.0,1
9/30/2020,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,18-25,IND,India,Non-Saudi,1,1.0,1
10/31/2020,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,PHL,Philippines,Non-Saudi,3,3.0,1
7/31/2020,7610 supernova,nokia 7610 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,PAK,Pakistan,Non-Saudi,1,1.0,1
10/31/2020,7310 supernova,nokia 7310 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,SDN,Sudan,Non-Saudi,2,2.0,1
3/31/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,SAU,Saudi Arabia,Saudi,569,94.5,1
9/30/2020,7310 supernova,nokia 7310 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,EGY,Egypt,Non-Saudi,1,1.0,1
10/31/2020,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,YEM,Yemen,Non-Saudi,3,3.0,1
6/30/2019,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IND,India,Non-Saudi,3,3.0,1
2/29/2020,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IRQ,Iraq,Non-Saudi,1,1.0,1
